Date,Time,Temperature,Humidity,Soil,WaterLevel,Watering
2019-05-02,15:08:45,30.7,11,57,0,0
2019-05-02,15:13:45,31.1,12,58,0,0
2019-05-02,15:18:45,31.1,12,57,0,0
2019-05-02,15:23:45,31.3,12,57,0,0
2019-05-02,15:28:45,31.4,12,56,0,0
2019-05-02,15:33:45,31.5,11,56,0,0
2019-05-02,15:38:45,31.7,10,56,0,0
2019-05-02,15:43:45,31.9,11,56,0,0
2019-05-02,15:48:45,32.1,9,57,0,0
2019-05-02,15:53:45,32.2,9,56,0,0
2019-05-02,15:58:45,32.4,9,56,0,0
2019-05-02,16:03:45,32.4,9,56,0,0
2019-05-02,16:08:45,32.7,9,56,0,0
2019-05-02,16:13:45,32.9,9,56,0,0
2019-05-02,16:18:45,33.1,10,58,0,0
2019-05-02,16:23:45,33.2,10,56,0,0
2019-05-02,16:28:45,33.4,10,55,0,0
2019-05-02,16:33:45,33.5,10,56,0,0
2019-05-02,16:38:45,33.6,10,55,0,0
2019-05-02,16:43:45,33.8,10,55,0,0
2019-05-02,16:48:45,33.9,10,56,0,0
2019-05-02,16:53:45,32.6,9,56,0,0
2019-05-02,16:58:45,33.1,10,55,0,0
2019-05-02,17:03:45,33.4,10,55,0,0
2019-05-02,17:08:45,33.6,10,56,0,0
2019-05-02,17:13:45,34,10,56,0,0
2019-05-02,17:18:45,34.1,10,58,0,0
2019-05-02,17:23:45,33.9,10,58,0,0
2019-05-02,17:28:45,33.6,10,59,0,0
2019-05-02,17:33:45,33.1,10,59,0,0
2019-05-02,17:38:45,32.4,9,59,0,0
2019-05-02,17:43:45,31.9,9,59,0,0
2019-05-02,17:48:45,31.4,10,59,0,0
2019-05-02,17:53:45,30.9,10,59,0,0
2019-05-02,17:58:46,30.4,11,59,0,0
2019-05-02,18:03:46,29.8,12,59,0,0
2019-05-02,18:08:46,29.4,13,59,0,0
2019-05-02,18:13:46,29,13,59,0,0
2019-05-02,18:18:46,28.6,13,59,0,0
2019-05-02,18:23:46,28.2,15,59,0,0
2019-05-02,18:28:46,27.9,14,58,0,0
2019-05-02,18:33:46,27.6,15,58,0,0
2019-05-02,18:38:46,27.6,16,57,0,0
2019-05-02,18:43:46,27.6,16,57,0,0
2019-05-02,18:48:46,27.6,16,57,0,0
2019-05-02,18:53:46,27.7,16,56,0,0
2019-05-02,18:58:46,27.9,16,56,0,0
2019-05-02,19:03:46,28,17,57,0,0
2019-05-02,19:08:46,28.3,17,57,0,0
2019-05-02,19:13:46,28.4,17,58,0,0
2019-05-02,19:18:46,28.5,16,57,0,0
2019-05-02,19:23:46,28.5,15,57,0,0
2019-05-02,19:28:46,28.6,16,57,0,0
2019-05-02,19:33:46,28.3,15,57,0,0
2019-05-02,19:38:46,28.1,16,58,0,0
2019-05-02,19:43:46,27.7,16,58,0,0
2019-05-02,19:48:46,27.5,16,58,0,0
2019-05-02,19:53:46,27.2,17,58,0,0
2019-05-02,19:58:46,26.8,17,58,0,0
2019-05-02,20:03:46,26.5,18,58,0,0
2019-05-02,20:08:46,26.1,19,58,0,0
2019-05-02,20:13:46,25.7,19,58,0,0
2019-05-02,20:18:46,25.4,19,58,0,0
2019-05-02,20:23:46,25.1,20,58,0,0
2019-05-02,20:28:45,24.8,21,58,0,0
